Service	Invocations	Failures
bloodpressure-0	329	47
bloodpressurefilter-0	328	45
bloodpressuretransfer-0	327	46
centralhub-0	321	33
ecg-0	338	30
ecgfilter-0	337	30
ecgtransfer-0	336	64
oximeter-0	332	28
oximeterfilter-0	331	40
oximetertransfer-0	330	61
thermometer-0	335	27
thermometerfilter-0	334	34
thermometertransfer-0	333	72

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
100	0	0	0	0	0	0	0	0	0	0	1	0	0	
101	1	0	0	0	1	0	0	0	0	1	0	0	1	
102	1	0	0	0	0	0	0	0	0	1	0	0	1	
103	1	0	0	0	0	0	1	1	0	0	0	0	0	
104	0	1	0	0	0	0	0	0	0	0	1	0	0	
105	0	0	0	0	0	0	0	0	0	1	0	0	0	
106	0	0	0	0	1	0	0	0	1	0	0	0	1	
107	0	0	0	0	0	0	0	1	0	0	0	0	0	
108	0	0	0	0	0	0	1	0	0	0	0	1	0	
109	0	0	0	1	0	0	0	0	0	1	1	0	0	
110	0	1	0	0	0	0	0	0	0	0	0	0	0	
111	0	0	0	0	0	0	0	0	0	0	0	0	1	
112	0	1	1	0	0	0	0	1	0	0	0	0	0	
113	0	0	0	1	0	0	0	0	0	0	0	0	0	
114	1	0	0	0	0	0	1	0	0	1	0	0	0	
115	0	0	0	0	0	0	0	0	0	0	0	0	0	
116	0	0	0	0	0	0	1	0	1	0	0	0	0	
117	0	0	0	0	0	0	0	0	0	0	0	0	0	
118	0	0	0	1	0	1	1	0	0	0	0	0	0	
119	0	0	1	0	0	0	0	0	0	0	0	0	0	
120	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	0	0	0	0	0	0	0	0	0	0	0	0	0	
122	0	0	0	0	0	0	0	0	0	0	0	0	0	
123	1	0	0	0	0	0	0	0	0	0	0	0	1	
124	0	0	0	0	0	0	0	0	0	0	0	0	0	
125	0	0	0	0	0	0	0	0	0	0	0	0	0	
126	0	0	1	1	1	0	1	0	0	1	0	1	1	
127	0	0	0	0	0	0	0	0	0	0	0	0	0	
128	0	0	0	0	0	0	1	0	0	0	0	0	0	
129	0	0	0	0	0	0	0	0	0	0	1	1	0	
130	0	0	0	0	0	0	0	0	0	0	0	0	0	
131	0	0	1	0	1	0	0	0	0	0	0	0	1	
132	0	0	0	0	0	0	0	1	0	1	0	0	0	
133	0	0	1	0	0	0	1	0	1	1	0	0	0	
134	0	1	1	0	0	0	0	0	0	1	1	0	0	
135	0	0	0	0	0	0	0	0	0	0	0	0	0	
136	0	0	1	0	0	0	0	0	0	0	0	0	1	
137	0	1	0	0	1	0	0	1	1	0	0	0	0	
138	1	0	0	1	0	1	0	0	0	0	0	1	0	
