Service	Invocations	Failures
bloodpressure-0	275	58
bloodpressurefilter-0	274	28
bloodpressuretransfer-0	273	49
centralhub-0	269	27
ecg-0	284	25
ecgfilter-0	283	30
ecgtransfer-0	282	49
oximeter-0	278	21
oximeterfilter-0	277	32
oximetertransfer-0	276	51
thermometer-0	281	20
thermometerfilter-0	280	35
thermometertransfer-0	279	37

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
1	-	-	-	-	-	-	-	-	-	-	-	-	-	
2	-	-	-	-	-	-	-	-	-	-	-	-	-	
3	-	-	-	-	0	-	-	-	-	-	-	-	-	
4	-	-	-	-	0	0	-	-	-	-	-	-	-	
5	-	-	-	-	0	0	0	-	-	-	-	-	-	
6	-	-	-	-	0	0	0	-	-	-	0	-	-	
7	-	-	-	-	0	1	0	-	-	-	0	0	-	
8	-	-	-	-	0	0	0	-	-	-	0	0	0	
9	-	-	-	-	0	0	0	0	-	-	0	1	0	
10	-	-	-	-	0	1	0	0	0	-	0	0	0	
11	-	-	-	-	0	0	0	0	0	0	0	0	0	
12	0	-	-	-	0	0	0	0	1	0	0	1	0	
13	0	0	-	-	1	0	0	0	0	0	0	0	0	
14	0	0	0	-	0	0	0	0	0	0	0	0	0	
15	1	0	0	0	0	0	1	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	1	0	0	
17	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	1	1	
19	1	0	0	0	0	0	0	1	0	0	0	0	0	
20	0	0	0	0	1	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	0	1	0	0	0	
22	0	0	0	0	0	0	1	0	0	0	0	0	0	
23	0	0	0	0	0	0	0	0	0	0	1	1	0	
24	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	0	0	0	1	0	0	0	0	0	0	0	0	1	
26	0	0	0	0	0	0	0	1	0	1	0	0	0	
27	1	0	0	0	0	0	0	0	0	0	0	0	0	
28	1	0	0	0	0	0	0	0	0	1	0	0	0	
29	0	0	0	0	0	0	0	0	1	0	0	0	0	
30	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	1	0	0	1	1	0	0	0	0	0	0	0	0	
33	1	0	0	0	0	0	0	0	0	0	0	0	0	
34	0	0	1	0	0	0	1	0	0	0	0	0	0	
35	1	0	0	0	1	1	1	0	1	0	0	0	0	
36	1	0	1	0	0	0	0	0	0	0	0	1	0	
37	0	0	0	0	0	0	1	0	0	0	0	0	0	
38	1	0	0	0	0	0	0	0	0	0	1	0	0	
39	1	1	1	0	0	0	0	0	0	0	0	1	1	
40	0	0	0	0	0	0	0	0	0	0	0	0	1	
41	0	0	0	0	0	0	0	1	0	0	0	0	0	
42	0	1	0	0	0	0	0	0	0	0	0	1	0	
43	0	0	0	0	0	0	0	0	0	1	0	0	0	
44	0	0	0	0	0	0	0	0	0	0	0	0	0	
45	0	0	0	0	0	0	0	0	0	0	0	0	0	
46	0	0	0	0	0	0	0	0	0	0	0	0	0	
47	0	0	0	1	1	0	0	0	0	0	0	0	0	
48	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	0	0	0	0	0	0	1	0	0	0	0	0	0	
50	0	0	0	0	0	0	0	0	1	1	1	0	0	
51	0	0	1	0	0	0	0	0	0	0	0	0	0	
