first_timestamp,second_timestamp,diff,average,std_dev
"1,54724876428889E+018","1,54724876428898E+018",89344,"114075,278688525","20506,1453472932"
"1,54724876530283E+018","1,54724876530291E+018",81152,,
"1,5472487663149E+018","1,54724876631498E+018",77056,,
"1,54724876733969E+018","1,54724876733976E+018",74752,,
"1,54724876836102E+018","1,54724876836112E+018",107008,,
"1,54724876936953E+018","1,54724876936965E+018",113920,,
"1,54724877036777E+018","1,54724877036788E+018",109824,,
"1,54724877136062E+018","1,54724877136071E+018",83200,,
"1,54724877235712E+018","1,54724877235721E+018",93440,,
"1,54724877336523E+018","1,54724877336534E+018",110336,,
"1,54724877437181E+018","1,54724877437193E+018",119808,,
"1,54724877537054E+018","1,54724877537065E+018",108544,,
"1,54724877636719E+018","1,5472487763673E+018",112640,,
"1,5472487773732E+018","1,54724877737331E+018",118272,,
"1,54724877837274E+018","1,54724877837285E+018",115456,,
"1,54724877936861E+018","1,54724877936872E+018",113152,,
"1,5472487803681E+018","1,54724878036821E+018",112128,,
"1,54724878136824E+018","1,54724878136835E+018",113152,,
"1,54724878237213E+018","1,54724878237224E+018",112896,,
"1,54724878337233E+018","1,54724878337244E+018",112128,,
"1,54724878437122E+018","1,54724878437133E+018",114176,,
"1,54724878537047E+018","1,54724878537058E+018",112384,,
"1,54724878636869E+018","1,54724878636881E+018",120064,,
"1,54724878737056E+018","1,54724878737067E+018",109824,,
"1,5472487883728E+018","1,54724878837292E+018",120064,,
"1,54724878937321E+018","1,54724878937333E+018",121856,,
"1,54724879037082E+018","1,54724879037094E+018",119552,,
"1,54724879136909E+018","1,54724879136921E+018",114176,,
"1,54724879236974E+018","1,54724879236987E+018",127488,,
"1,54724879336981E+018","1,54724879336993E+018",112128,,
"1,54724879436909E+018","1,5472487943692E+018",111616,,
"1,54724879536703E+018","1,54724879536715E+018",121088,,
"1,54724879636577E+018","1,54724879636589E+018",110336,,
"1,54724879736441E+018","1,54724879736449E+018",88320,,
"1,54724879836159E+018","1,54724879836169E+018",104704,,
"1,54724879936914E+018","1,54724879936926E+018",113408,,
"1,54724880037046E+018","1,54724880037057E+018",110080,,
"1,54724880136718E+018","1,54724880136728E+018",106496,,
"1,54724880236789E+018","1,547248802368E+018",112640,,
"1,5472488033694E+018","1,54724880336951E+018",117760,,
"1,54724880436769E+018","1,5472488043678E+018",108800,,
"1,54724880536389E+018","1,547248805364E+018",105472,,
"1,54724880636515E+018","1,54724880636526E+018",117504,,
"1,54724880736635E+018","1,54724880736646E+018",105728,,
"1,54724880836372E+018","1,54724880836383E+018",105728,,
"1,54724880936753E+018","1,54724880936772E+018",195328,,
"1,54724881036716E+018","1,54724881036728E+018",114176,,
"1,54724881136655E+018","1,54724881136666E+018",114688,,
"1,54724881236545E+018","1,54724881236556E+018",110080,,
"1,54724881436252E+018","1,54724881436265E+018",126464,,
"1,54724881535915E+018","1,54724881535928E+018",132864,,
"1,54724881542315E+018","1,54724881542327E+018",123136,,
"1,54724881642765E+018","1,54724881642776E+018",110592,,
"1,54724881743448E+018","1,54724881743459E+018",110336,,
"1,54724881843413E+018","1,54724881843424E+018",109312,,
"1,54724881942999E+018","1,5472488194301E+018",108032,,
"1,54724882042953E+018","1,54724882042964E+018",107264,,
"1,54724882143093E+018","1,54724882143104E+018",113408,,
"1,54724882243072E+018","1,54724882243084E+018",115200,,
"1,54724882343445E+018","1,54724882343456E+018",116992,,
"1,54724882443442E+018","1,54724882443453E+018",114176,,
"1,54724882543091E+018","1,54724882543102E+018",111616,,
"1,54724882642883E+018","1,54724882642894E+018",113920,,
"1,54724882743087E+018","1,54724882743099E+018",116480,,
"1,54724882843055E+018","1,54724882843066E+018",112384,,
"1,54724882942834E+018","1,54724882942845E+018",110080,,
"1,54724883042784E+018","1,54724883042795E+018",117248,,
"1,54724883143055E+018","1,54724883143067E+018",121600,,
"1,5472488324289E+018","1,54724883242901E+018",108032,,
"1,54724883342717E+018","1,54724883342728E+018",114176,,
"1,5472488344326E+018","1,54724883443272E+018",119296,,
"1,54724883543387E+018","1,54724883543398E+018",110848,,
"1,54724883643024E+018","1,54724883643035E+018",112896,,
"1,54724883742812E+018","1,54724883742823E+018",105728,,
"1,54724883941995E+018","1,54724883942006E+018",109312,,
"1,54724883948204E+018","1,54724883948213E+018",92416,,
"1,54724884048736E+018","1,54724884048749E+018",133376,,
"1,54724884149296E+018","1,54724884149307E+018",107776,,
"1,54724884249006E+018","1,54724884249017E+018",108032,,
"1,547248843491E+018","1,54724884349112E+018",112640,,
"1,5472488444915E+018","1,5472488444916E+018",99584,,
"1,54724884548884E+018","1,54724884548895E+018",108544,,
"1,54724884649175E+018","1,54724884649187E+018",114432,,
"1,54724884749301E+018","1,54724884749313E+018",125952,,
"1,54724884849445E+018","1,54724884849457E+018",115712,,
"1,54724884949346E+018","1,54724884949357E+018",112640,,
"1,5472488504931E+018","1,54724885049322E+018",114176,,
"1,54724885149118E+018","1,54724885149129E+018",108288,,
"1,54724885249052E+018","1,54724885249066E+018",134400,,
"1,5472488534925E+018","1,54724885349261E+018",109056,,
"1,5472488544888E+018","1,5472488544889E+018",97280,,
"1,54724885548868E+018","1,54724885548881E+018",122112,,
"1,54724885649427E+018","1,54724885649437E+018",108544,,
"1,5472488574963E+018","1,54724885749643E+018",122624,,
"1,54724885849263E+018","1,54724885849275E+018",114432,,
"1,54724885949284E+018","1,54724885949296E+018",120320,,
"1,5472488604927E+018","1,54724886049281E+018",114944,,
"1,54724886149089E+018","1,54724886149101E+018",113408,,
"1,54724886249375E+018","1,54724886249387E+018",118272,,
"1,54724886349406E+018","1,54724886349417E+018",113664,,
"1,5472488644913E+018","1,54724886449143E+018",129536,,
"1,54724886549162E+018","1,54724886549175E+018",128512,,
"1,54724886649048E+018","1,54724886649059E+018",116224,,
"1,54724886749544E+018","1,54724886749556E+018",120832,,
"1,54724886849581E+018","1,54724886849592E+018",110336,,
"1,54724886949125E+018","1,54724886949135E+018",102912,,
"1,54724887048985E+018","1,54724887048996E+018",109568,,
"1,54724887149121E+018","1,54724887149133E+018",122880,,
"1,54724887249027E+018","1,54724887249038E+018",108544,,
"1,54724887349189E+018","1,547248873492E+018",109312,,
"1,54724887449631E+018","1,54724887449642E+018",112640,,
"1,54724887549645E+018","1,54724887549655E+018",104704,,
"1,54724887649411E+018","1,54724887649422E+018",109824,,
"1,54724887749276E+018","1,54724887749286E+018",103680,,
"1,54724887849297E+018","1,54724887849308E+018",109568,,
"1,54724887949259E+018","1,54724887949271E+018",110592,,
"1,54724888049464E+018","1,54724888049475E+018",109824,,
"1,54724888149126E+018","1,54724888149136E+018",104448,,
"1,54724888249223E+018","1,54724888249234E+018",114176,,
"1,54724888349435E+018","1,54724888349445E+018",109056,,
"1,54724888449095E+018","1,54724888449105E+018",102400,,
"1,54724888548986E+018","1,54724888548996E+018",105728,,
"1,54724888649111E+018","1,54724888649123E+018",117504,,
"1,54724888749243E+018","1,54724888749254E+018",109056,,
"1,54724888849239E+018","1,5472488884925E+018",107264,,
"1,54724888949162E+018","1,54724888949173E+018",113152,,
"1,54724889049535E+018","1,54724889049548E+018",130560,,
"1,54724889149438E+018","1,54724889149449E+018",105984,,
"1,54724889248976E+018","1,54724889248987E+018",110336,,
"1,54724889349025E+018","1,54724889349036E+018",112384,,
"1,54724889449131E+018","1,54724889449145E+018",139264,,
"1,54724889549085E+018","1,54724889549096E+018",109056,,
"1,54724889649022E+018","1,54724889649033E+018",111872,,
"1,54724889749337E+018","1,54724889749348E+018",108032,,
"1,54724889849278E+018","1,5472488984929E+018",113152,,
"1,54724889949383E+018","1,54724889949395E+018",116480,,
"1,5472489004914E+018","1,54724890049152E+018",122624,,
"1,54724890149104E+018","1,54724890149115E+018",106240,,
"1,54724890249238E+018","1,54724890249249E+018",114432,,
"1,54724890349249E+018","1,54724890349265E+018",158464,,
"1,54724890449317E+018","1,54724890449329E+018",116480,,
"1,54724890549233E+018","1,54724890549245E+018",113920,,
"1,54724890649089E+018","1,54724890649101E+018",111104,,
"1,54724890749105E+018","1,54724890749117E+018",119040,,
"1,54724890849308E+018","1,54724890849321E+018",129792,,
"1,54724890949108E+018","1,54724890949118E+018",104704,,
"1,54724891048827E+018","1,54724891048837E+018",102144,,
"1,5472489114892E+018","1,54724891148931E+018",106496,,
"1,54724891249041E+018","1,54724891249052E+018",108032,,
"1,54724891349192E+018","1,54724891349203E+018",111616,,
"1,5472489144944E+018","1,54724891449453E+018",132608,,
"1,5472489154927E+018","1,54724891549282E+018",113408,,
"1,5472489164937E+018","1,54724891649381E+018",105216,,
