id,average,stddev
1,103732.039344262,17416.1305887002
2,105608.930232558,25641.0332851814
3,112888.421052632,49409.9561830766
4,112010.491803279,18851.1393340441
5,110656,11764.5977227255
6,115026.798679868,16519.1269010175
7,112649.293729373,14476.2007315019
8,111404.485245902,24270.6814734324
9,113578.950166113,16419.0876112989
10,114075.278688525,20506.1453472932
