Service	Invocations	Failures
bloodpressure-0	279	193
bloodpressurefilter-0	278	207
bloodpressuretransfer-0	277	191
centralhub-0	275	190
ecg-0	288	192
ecgfilter-0	287	207
ecgtransfer-0	286	205
oximeter-0	282	196
oximeterfilter-0	281	201
oximetertransfer-0	280	182
thermometer-0	285	214
thermometerfilter-0	284	194
thermometertransfer-0	283	202

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
1	-	-	-	-	-	-	-	-	-	-	-	-	-	
2	-	-	-	-	-	-	-	-	-	-	-	-	-	
3	-	-	-	-	0	-	-	-	-	-	-	-	-	
4	-	-	-	-	0	1	-	-	-	-	-	-	-	
5	-	-	-	-	1	1	0	-	-	-	-	-	-	
6	-	-	-	-	1	0	1	-	-	-	1	-	-	
7	-	-	-	-	1	0	1	-	-	-	1	0	-	
8	-	-	-	-	0	1	0	-	-	-	1	1	0	
9	-	-	-	-	1	1	1	1	-	-	1	0	1	
10	-	-	-	-	1	1	1	1	1	-	1	0	0	
11	-	-	-	-	0	1	1	0	1	1	1	1	1	
12	1	-	-	-	0	0	1	1	1	1	0	0	1	
13	0	1	-	-	1	0	0	1	1	1	0	1	0	
14	0	0	1	-	0	1	1	1	1	1	1	1	1	
15	0	1	1	0	0	1	1	1	0	1	1	0	1	
16	0	0	1	1	1	1	0	1	1	0	1	1	1	
17	1	1	1	1	1	1	1	1	1	1	1	0	0	
18	1	1	1	1	1	1	0	0	1	1	1	1	0	
19	1	1	0	1	1	1	0	1	1	1	1	1	0	
20	1	0	1	0	1	1	1	0	1	0	1	0	1	
21	1	0	1	1	1	0	1	1	1	1	0	1	1	
22	0	0	0	1	1	1	1	0	1	1	0	1	1	
23	1	1	1	1	1	1	1	1	1	0	0	0	1	
24	1	1	1	1	1	1	1	1	1	1	1	0	0	
25	0	1	0	1	1	1	1	1	0	1	1	0	1	
26	1	1	1	0	0	0	0	0	1	1	1	0	1	
27	0	1	0	0	0	1	0	1	1	1	0	0	1	
28	0	1	1	0	1	1	1	0	1	0	0	1	1	
29	0	0	0	0	0	1	1	1	1	0	0	1	1	
30	1	0	1	1	1	1	1	0	1	1	0	0	1	
31	1	0	1	0	1	0	1	1	1	1	1	1	1	
32	1	0	1	1	1	1	0	1	0	1	0	1	1	
33	0	1	1	1	1	1	0	1	0	1	0	1	1	
34	1	1	1	1	1	1	1	1	1	0	1	1	0	
35	1	0	1	1	1	1	1	0	0	0	0	1	1	
36	1	1	0	0	0	0	1	1	0	1	1	1	1	
37	1	1	1	1	1	1	0	1	1	1	1	0	1	
38	0	0	0	0	1	1	1	1	1	1	1	0	0	
39	0	1	0	1	1	1	1	1	1	1	1	0	1	
40	1	1	1	0	1	0	0	1	0	1	0	1	1	
41	1	1	1	1	1	1	1	1	0	1	1	0	1	
42	1	0	1	1	0	1	1	1	1	1	0	0	0	
43	1	1	1	1	1	1	1	0	1	0	1	0	0	
44	0	1	1	1	1	1	1	1	1	1	0	1	1	
45	1	0	1	1	0	1	1	0	1	0	1	0	1	
46	1	0	0	1	1	1	1	1	1	1	1	1	1	
47	0	0	0	0	0	1	0	1	1	0	0	1	1	
48	1	1	1	1	1	1	1	1	0	0	1	1	1	
49	1	1	1	1	0	0	0	1	1	1	1	1	0	
50	1	0	1	1	1	1	1	1	0	0	0	0	1	
51	1	0	1	0	1	1	0	1	1	0	1	1	1	
