first_timestamp,second_timestamp,diff,average,std_dev
"1,54724651378688E+018","1,54724651378696E+018",84480,110656,"11764,5977227255"
"1,5472465147952E+018","1,54724651479528E+018",80896,,
"1,54724651577688E+018","1,54724651577695E+018",77568,,
"1,54724651680418E+018","1,54724651680427E+018",85504,,
"1,54724651782164E+018","1,54724651782173E+018",83712,,
"1,54724651882556E+018","1,54724651882567E+018",113152,,
"1,54724651982602E+018","1,54724651982611E+018",87040,,
"1,54724652082351E+018","1,54724652082362E+018",116992,,
"1,54724652183043E+018","1,54724652183054E+018",111872,,
"1,54724652282921E+018","1,54724652282933E+018",114432,,
"1,54724652382996E+018","1,54724652383008E+018",115200,,
"1,54724652483366E+018","1,54724652483377E+018",109824,,
"1,54724652583559E+018","1,5472465258357E+018",115200,,
"1,54724652683303E+018","1,54724652683314E+018",109056,,
"1,54724652783155E+018","1,54724652783167E+018",116224,,
"1,54724652883265E+018","1,54724652883275E+018",105984,,
"1,54724652983162E+018","1,54724652983174E+018",118016,,
"1,54724653083258E+018","1,54724653083269E+018",112128,,
"1,54724653183279E+018","1,5472465318329E+018",109568,,
"1,5472465328319E+018","1,54724653283201E+018",110080,,
"1,54724653383039E+018","1,54724653383049E+018",103680,,
"1,547246534831E+018","1,54724653483111E+018",114176,,
"1,54724653583056E+018","1,54724653583067E+018",107008,,
"1,54724653682818E+018","1,5472465368283E+018",121088,,
"1,54724653783026E+018","1,54724653783037E+018",108544,,
"1,54724653882902E+018","1,54724653882913E+018",108544,,
"1,54724653982952E+018","1,54724653982964E+018",121344,,
"1,54724654083119E+018","1,5472465408313E+018",113152,,
"1,54724654182958E+018","1,54724654182969E+018",106240,,
"1,54724654283303E+018","1,54724654283315E+018",123904,,
"1,54724654383489E+018","1,54724654383501E+018",116992,,
"1,54724654483019E+018","1,5472465448303E+018",110336,,
"1,54724654582571E+018","1,54724654582582E+018",106496,,
"1,54724654682885E+018","1,54724654682896E+018",113920,,
"1,5472465478326E+018","1,54724654783271E+018",114176,,
"1,54724654883006E+018","1,54724654883017E+018",110080,,
"1,54724654983064E+018","1,54724654983076E+018",124672,,
"1,54724655083586E+018","1,54724655083597E+018",105472,,
"1,54724655282566E+018","1,54724655282578E+018",119296,,
"1,54724655289455E+018","1,54724655289465E+018",103424,,
"1,54724655389447E+018","1,54724655389459E+018",122368,,
"1,54724655489679E+018","1,54724655489691E+018",116992,,
"1,5472465559E+018","1,54724655590012E+018",120064,,
"1,54724655690011E+018","1,54724655690023E+018",114688,,
"1,54724655789929E+018","1,54724655789942E+018",132096,,
"1,54724655889849E+018","1,5472465588986E+018",109312,,
"1,54724655989857E+018","1,54724655989869E+018",121088,,
"1,54724656089579E+018","1,54724656089588E+018",94208,,
"1,54724656189183E+018","1,54724656189194E+018",111616,,
"1,5472465628968E+018","1,54724656289691E+018",114944,,
"1,54724656389934E+018","1,54724656389946E+018",121344,,
"1,54724656490207E+018","1,54724656490219E+018",114688,,
"1,54724656590564E+018","1,54724656590575E+018",113152,,
"1,54724656690612E+018","1,54724656690624E+018",114176,,
"1,54724656790306E+018","1,54724656790318E+018",120064,,
"1,54724656890058E+018","1,5472465689007E+018",114176,,
"1,54724656989794E+018","1,54724656989805E+018",113664,,
"1,54724657089759E+018","1,54724657089771E+018",114176,,
"1,54724657190158E+018","1,54724657190169E+018",110336,,
"1,5472465728991E+018","1,54724657289921E+018",109568,,
"1,54724657389803E+018","1,54724657389814E+018",119296,,
"1,54724657489807E+018","1,54724657489818E+018",102400,,
"1,54724657589872E+018","1,54724657589884E+018",118272,,
"1,54724657690132E+018","1,54724657690143E+018",116736,,
"1,54724657789909E+018","1,54724657789921E+018",118016,,
"1,54724657889738E+018","1,54724657889748E+018",107008,,
"1,54724657989822E+018","1,54724657989833E+018",111616,,
"1,54724658089792E+018","1,54724658089802E+018",99328,,
"1,54724658189409E+018","1,54724658189419E+018",101888,,
"1,54724658289638E+018","1,54724658289649E+018",107520,,
"1,54724658390182E+018","1,54724658390194E+018",120320,,
"1,5472465849011E+018","1,54724658490122E+018",114688,,
"1,54724658589826E+018","1,54724658589837E+018",111104,,
"1,54724658689717E+018","1,54724658689727E+018",101632,,
"1,5472465878931E+018","1,5472465878932E+018",103168,,
"1,54724658889882E+018","1,54724658889894E+018",118272,,
"1,54724658990289E+018","1,54724658990301E+018",126208,,
"1,54724659089642E+018","1,54724659089651E+018",89600,,
"1,54724659189649E+018","1,5472465918966E+018",112128,,
"1,54724659289886E+018","1,54724659289897E+018",107008,,
"1,54724659389502E+018","1,54724659389512E+018",99584,,
"1,54724659489577E+018","1,54724659489588E+018",112128,,
"1,5472465958977E+018","1,54724659589781E+018",113152,,
"1,54724659689968E+018","1,54724659689979E+018",107520,,
"1,54724659789723E+018","1,54724659789733E+018",98816,,
"1,5472465988987E+018","1,54724659889882E+018",122880,,
"1,54724659989937E+018","1,54724659989951E+018",131840,,
"1,5472466008973E+018","1,54724660089741E+018",109824,,
"1,5472466018978E+018","1,54724660189793E+018",122112,,
"1,54724660289744E+018","1,54724660289755E+018",108544,,
"1,54724660389616E+018","1,54724660389627E+018",108544,,
"1,54724660489803E+018","1,54724660489815E+018",119808,,
"1,54724660589699E+018","1,54724660589709E+018",100864,,
"1,54724660689432E+018","1,54724660689444E+018",112384,,
"1,5472466078969E+018","1,54724660789702E+018",121088,,
"1,54724660889882E+018","1,54724660889894E+018",114688,,
"1,54724660989762E+018","1,54724660989774E+018",117248,,
"1,54724661089757E+018","1,54724661089769E+018",117504,,
"1,54724661189879E+018","1,5472466118989E+018",113920,,
"1,54724661289871E+018","1,54724661289883E+018",119040,,
"1,54724661389665E+018","1,54724661389675E+018",101888,,
"1,54724661489347E+018","1,54724661489358E+018",104192,,
"1,54724661589883E+018","1,54724661589894E+018",111872,,
"1,54724661689647E+018","1,54724661689656E+018",90368,,
"1,54724661790105E+018","1,54724661790116E+018",106752,,
"1,54724661890111E+018","1,54724661890123E+018",115200,,
"1,54724661989901E+018","1,54724661989911E+018",103168,,
"1,54724662089603E+018","1,54724662089613E+018",105472,,
"1,54724662189715E+018","1,54724662189726E+018",112128,,
"1,54724662289923E+018","1,54724662289934E+018",112640,,
"1,54724662389195E+018","1,54724662389204E+018",89344,,
"1,54724662488604E+018","1,54724662488612E+018",84992,,
"1,54724662588582E+018","1,54724662588595E+018",129536,,
"1,5472466278892E+018","1,54724662788932E+018",116992,,
"1,54724662888432E+018","1,54724662888441E+018",91136,,
"1,54724662894198E+018","1,54724662894206E+018",77056,,
"1,54724662994896E+018","1,54724662994905E+018",87552,,
"1,54724663095355E+018","1,5472466309537E+018",156416,,
"1,54724663196145E+018","1,54724663196156E+018",107520,,
"1,54724663296058E+018","1,54724663296069E+018",115200,,
"1,54724663396338E+018","1,54724663396352E+018",144896,,
"1,54724663496323E+018","1,54724663496334E+018",101120,,
"1,54724663596342E+018","1,54724663596354E+018",111616,,
"1,54724663696527E+018","1,54724663696538E+018",112128,,
"1,54724663796345E+018","1,54724663796356E+018",113408,,
"1,54724663896005E+018","1,54724663896015E+018",92160,,
"1,54724663995826E+018","1,54724663995836E+018",106240,,
"1,5472466409665E+018","1,54724664096662E+018",117504,,
"1,54724664196092E+018","1,54724664196102E+018",100864,,
"1,54724664295754E+018","1,54724664295764E+018",103680,,
"1,5472466439616E+018","1,54724664396172E+018",119552,,
"1,5472466449698E+018","1,54724664496993E+018",129024,,
"1,54724664597065E+018","1,54724664597077E+018",121344,,
"1,54724664696445E+018","1,54724664696456E+018",107520,,
"1,54724664796443E+018","1,54724664796453E+018",100096,,
"1,54724664896067E+018","1,54724664896077E+018",94464,,
"1,54724664995801E+018","1,54724664995812E+018",104192,,
"1,54724665096158E+018","1,54724665096168E+018",102912,,
"1,54724665196398E+018","1,54724665196409E+018",113152,,
"1,54724665296553E+018","1,54724665296564E+018",115456,,
"1,54724665396313E+018","1,54724665396324E+018",111104,,
"1,54724665496426E+018","1,54724665496437E+018",108544,,
"1,54724665596415E+018","1,54724665596426E+018",104960,,
"1,54724665696423E+018","1,54724665696434E+018",112128,,
"1,54724665796533E+018","1,54724665796544E+018",109056,,
"1,54724665895954E+018","1,54724665895962E+018",78336,,
"1,54724665995853E+018","1,54724665995865E+018",118784,,
"1,54724666096555E+018","1,54724666096567E+018",116224,,
"1,54724666196406E+018","1,54724666196416E+018",102400,,
"1,5472466629632E+018","1,54724666296332E+018",116992,,
"1,54724666396269E+018","1,5472466639628E+018",107520,,
"1,54724666496104E+018","1,54724666496115E+018",110848,,
"1,54724666596369E+018","1,54724666596381E+018",117504,,
"1,54724666696283E+018","1,54724666696292E+018",95232,,
"1,54724666796058E+018","1,54724666796069E+018",107008,,
"1,54724666896925E+018","1,54724666896938E+018",122112,,
"1,54724666997046E+018","1,54724666997057E+018",113152,,
"1,54724667096469E+018","1,54724667096481E+018",120320,,
"1,54724667196175E+018","1,54724667196185E+018",97280,,
"1,54724667295796E+018","1,54724667295811E+018",146176,,
"1,54724667396311E+018","1,54724667396325E+018",141056,,
"1,54724667496148E+018","1,5472466749616E+018",122112,,
"1,54724667596106E+018","1,54724667596117E+018",112128,,
"1,54724667696149E+018","1,5472466769616E+018",110592,,
"1,54724667795699E+018","1,54724667795712E+018",132096,,
"1,54724667895566E+018","1,54724667895577E+018",110080,,
"1,54724667996005E+018","1,54724667996014E+018",89600,,
"1,54724668095793E+018","1,54724668095806E+018",126208,,
"1,54724668196528E+018","1,5472466819654E+018",116736,,
"1,54724668296566E+018","1,54724668296578E+018",120576,,
"1,54724668396626E+018","1,54724668396637E+018",118272,,
"1,54724668496513E+018","1,54724668496524E+018",113152,,
"1,54724668596239E+018","1,5472466859625E+018",111872,,
"1,54724668696176E+018","1,54724668696188E+018",121344,,
"1,54724668796355E+018","1,54724668796366E+018",116992,,
"1,54724668896391E+018","1,54724668896401E+018",101632,,
"1,54724668996243E+018","1,54724668996254E+018",114176,,
"1,54724669096314E+018","1,54724669096326E+018",113920,,
"1,54724669196069E+018","1,54724669196078E+018",92160,,
"1,54724669296178E+018","1,54724669296189E+018",117760,,
"1,54724669396634E+018","1,54724669396645E+018",114944,,
"1,54724669496444E+018","1,54724669496456E+018",114176,,
"1,54724669596097E+018","1,54724669596107E+018",105472,,
"1,54724669695917E+018","1,54724669695927E+018",105984,,
"1,54724669796025E+018","1,54724669796036E+018",110848,,
"1,54724669896682E+018","1,54724669896694E+018",121600,,
"1,54724669996837E+018","1,54724669996848E+018",110592,,
"1,54724670096355E+018","1,54724670096365E+018",102656,,
"1,547246701962E+018","1,5472467019621E+018",102912,,
"1,54724670296483E+018","1,54724670296495E+018",118784,,
"1,5472467039651E+018","1,5472467039652E+018",102656,,
"1,54724670496083E+018","1,54724670496094E+018",106240,,
"1,5472467059625E+018","1,5472467059626E+018",101376,,
"1,54724670695982E+018","1,54724670695994E+018",115200,,
"1,54724670796214E+018","1,54724670796226E+018",111616,,
"1,54724670896229E+018","1,5472467089624E+018",114688,,
"1,54724670996126E+018","1,54724670996136E+018",102400,,
"1,54724671096535E+018","1,54724671096546E+018",111104,,
"1,54724671197026E+018","1,54724671197037E+018",108288,,
"1,54724671296433E+018","1,54724671296444E+018",111616,,
"1,5472467139628E+018","1,54724671396292E+018",115712,,
"1,54724671496374E+018","1,54724671496385E+018",118272,,
"1,54724671596261E+018","1,54724671596273E+018",115200,,
"1,54724671696287E+018","1,54724671696298E+018",110080,,
"1,54724671796158E+018","1,5472467179617E+018",118272,,
"1,54724671896316E+018","1,54724671896328E+018",122624,,
"1,54724671996905E+018","1,54724671996917E+018",120320,,
"1,54724672096753E+018","1,54724672096765E+018",120576,,
"1,54724672196428E+018","1,54724672196439E+018",112128,,
"1,54724672296338E+018","1,54724672296351E+018",132352,,
"1,54724672396462E+018","1,54724672396481E+018",183808,,
"1,54724672496429E+018","1,5472467249644E+018",106240,,
"1,54724672596175E+018","1,54724672596186E+018",107264,,
"1,54724672695891E+018","1,54724672695901E+018",99328,,
"1,5472467279584E+018","1,54724672795852E+018",112640,,
"1,54724672896616E+018","1,54724672896628E+018",112896,,
"1,54724672996255E+018","1,54724672996266E+018",108800,,
"1,54724673096017E+018","1,54724673096027E+018",103424,,
"1,54724673195798E+018","1,54724673195807E+018",92416,,
"1,54724673295628E+018","1,54724673295637E+018",97792,,
"1,54724673396003E+018","1,54724673396015E+018",113664,,
"1,54724673496477E+018","1,54724673496488E+018",109056,,
"1,54724673596119E+018","1,54724673596129E+018",108544,,
"1,54724673696049E+018","1,54724673696059E+018",99840,,
"1,54724673795493E+018","1,54724673795501E+018",76032,,
"1,54724673895204E+018","1,54724673895213E+018",93184,,
"1,54724673996512E+018","1,54724673996523E+018",110080,,
"1,54724674096868E+018","1,54724674096879E+018",109056,,
"1,54724674196298E+018","1,54724674196309E+018",110592,,
"1,54724674295925E+018","1,54724674295935E+018",95488,,
"1,54724674395891E+018","1,54724674395902E+018",114944,,
"1,54724674496487E+018","1,54724674496498E+018",109312,,
"1,5472467459647E+018","1,54724674596481E+018",109056,,
"1,54724674696409E+018","1,5472467469642E+018",112640,,
"1,54724674796356E+018","1,54724674796367E+018",115456,,
"1,54724674896278E+018","1,5472467489629E+018",111872,,
"1,54724674996354E+018","1,54724674996365E+018",111360,,
"1,5472467509652E+018","1,54724675096531E+018",108544,,
"1,54724675195943E+018","1,54724675195952E+018",89344,,
"1,54724675295572E+018","1,54724675295583E+018",108288,,
"1,54724675396117E+018","1,54724675396128E+018",112128,,
"1,5472467549601E+018","1,54724675496019E+018",94464,,
"1,5472467559616E+018","1,54724675596171E+018",112128,,
"1,54724675696385E+018","1,54724675696396E+018",109312,,
"1,54724675796134E+018","1,54724675796145E+018",110080,,
"1,54724675896551E+018","1,54724675896562E+018",111104,,
"1,54724675996642E+018","1,54724675996652E+018",103680,,
"1,54724676096487E+018","1,54724676096499E+018",110592,,
"1,54724676196147E+018","1,54724676196158E+018",109824,,
"1,54724676296622E+018","1,54724676296635E+018",122368,,
"1,54724676396737E+018","1,54724676396751E+018",136448,,
"1,54724676496404E+018","1,54724676496414E+018",101376,,
"1,54724676595978E+018","1,54724676595992E+018",133120,,
"1,54724676696145E+018","1,54724676696156E+018",110848,,
"1,54724676796204E+018","1,54724676796214E+018",96256,,
"1,5472467689605E+018","1,54724676896062E+018",113664,,
"1,54724676996363E+018","1,54724676996375E+018",121088,,
"1,54724677096289E+018","1,547246770963E+018",112128,,
"1,54724677196356E+018","1,54724677196366E+018",103424,,
"1,54724677296078E+018","1,54724677296089E+018",109824,,
"1,54724677396489E+018","1,547246773965E+018",111104,,
"1,54724677496644E+018","1,54724677496655E+018",107776,,
"1,54724677596456E+018","1,54724677596467E+018",112896,,
"1,54724677696577E+018","1,54724677696588E+018",108032,,
"1,54724677796632E+018","1,54724677796643E+018",113920,,
"1,54724677896576E+018","1,54724677896588E+018",111616,,
"1,5472467799617E+018","1,54724677996181E+018",109568,,
"1,54724678096057E+018","1,54724678096067E+018",97024,,
"1,54724678196053E+018","1,54724678196064E+018",115200,,
"1,54724678296189E+018","1,547246782962E+018",110080,,
"1,5472467839599E+018","1,54724678396E+018",103680,,
"1,54724678495919E+018","1,5472467849593E+018",107520,,
"1,54724678596031E+018","1,54724678596042E+018",108288,,
"1,54724678696469E+018","1,54724678696478E+018",94464,,
"1,54724678796879E+018","1,5472467879689E+018",108544,,
"1,54724678896738E+018","1,54724678896751E+018",137472,,
"1,54724678996977E+018","1,54724678996987E+018",104448,,
"1,54724679096883E+018","1,54724679096894E+018",116480,,
"1,54724679196648E+018","1,54724679196659E+018",113920,,
"1,54724679296524E+018","1,54724679296535E+018",111616,,
"1,54724679396434E+018","1,54724679396446E+018",115456,,
"1,54724679496336E+018","1,54724679496348E+018",123392,,
"1,54724679596229E+018","1,54724679596239E+018",109056,,
"1,54724679696232E+018","1,54724679696243E+018",114176,,
"1,54724679796506E+018","1,54724679796518E+018",120576,,
"1,5472467989676E+018","1,54724679896771E+018",112640,,
"1,54724679996207E+018","1,54724679996217E+018",104960,,
"1,54724680096298E+018","1,54724680096309E+018",115456,,
"1,54724680196392E+018","1,54724680196403E+018",109312,,
"1,54724680296258E+018","1,5472468029627E+018",113664,,
"1,54724680396427E+018","1,54724680396438E+018",114432,,
"1,54724680496386E+018","1,54724680496398E+018",115712,,
"1,54724680596388E+018","1,54724680596399E+018",115456,,
"1,54724680696384E+018","1,54724680696394E+018",106496,,
"1,54724680796218E+018","1,54724680796228E+018",103680,,
"1,54724680896152E+018","1,54724680896163E+018",107520,,
"1,54724680996192E+018","1,54724680996202E+018",99840,,
"1,54724681096152E+018","1,54724681096163E+018",110080,,
"1,547246811964E+018","1,54724681196413E+018",122624,,
"1,54724681296377E+018","1,54724681296389E+018",112128,,
"1,54724681396249E+018","1,54724681396258E+018",91136,,
"1,54724681496784E+018","1,54724681496794E+018",93440,,
"1,54724681596505E+018","1,54724681596513E+018",76288,,
"1,54724681695781E+018","1,54724681695793E+018",115968,,
