ID,RELIABILITY,COST,OXIM,ECG,TEMP,ABP,PATIENT_STATUS,TIME_MS
0,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,247355145
1,0,0,FALSE,TRUE,TRUE,FALSE,NORMAL STATE,247356173
2,0,0,TRUE,TRUE,TRUE,FALSE,NORMAL STATE,247357156
3,0,0,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247358178
4,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247359189
5,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247360198
6,0.964172,0.006059,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247361206
7,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247362210
8,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247363194
9,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247364187
10,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247365175
11,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247366180
12,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247367181
13,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247368175
14,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247369174
15,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247370177
16,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247371176
17,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247372175
18,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247373177
19,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247374179
20,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247375177
21,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247376176
22,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247377186
23,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247378184
24,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247379176
25,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247380176
26,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247381176
27,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247382175
28,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247383174
29,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247384174
30,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247385181
31,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247386182
32,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247387179
33,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247388175
34,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247389171
35,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247390175
36,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247391177
37,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247392177
38,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247393173
39,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247394175
40,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247395181
41,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247396183
42,0.918556,0.00536332,TRUE,TRUE,TRUE,TRUE,NORMAL STATE,247397181
