Service	Invocations	Failures
bloodpressure-0	276	29
bloodpressurefilter-0	275	12
bloodpressuretransfer-0	274	64
centralhub-0	269	20
ecg-0	285	16
ecgfilter-0	284	18
ecgtransfer-0	283	44
oximeter-0	279	14
oximeterfilter-0	278	28
oximetertransfer-0	277	50
thermometer-0	282	20
thermometerfilter-0	281	30
thermometertransfer-0	280	52

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
1	-	-	-	-	-	-	-	-	-	-	-	-	-	
2	-	-	-	-	1	-	-	-	-	-	-	-	-	
3	-	-	-	-	0	1	-	-	-	-	-	-	-	
4	-	-	-	-	0	0	1	-	-	-	-	-	-	
5	-	-	-	-	0	0	0	-	-	-	1	-	-	
6	-	-	-	-	0	0	0	-	-	-	0	0	-	
7	-	-	-	-	0	0	0	-	-	-	0	0	0	
8	-	-	-	-	0	0	0	0	-	-	0	0	0	
9	-	-	-	-	0	0	0	0	0	-	0	0	0	
10	-	-	-	-	0	0	0	0	0	0	0	0	0	
11	0	-	-	-	0	0	0	0	0	0	0	0	0	
12	0	0	-	-	1	0	0	0	0	0	0	0	0	
13	0	0	1	-	0	0	0	0	0	0	0	0	0	
14	0	0	0	-	0	0	1	0	0	0	0	1	0	
15	0	0	0	0	0	0	0	0	0	0	1	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0	0	0	0	0	0	0	0	0	0	0	0	1	
18	0	0	0	0	0	0	0	1	0	0	0	0	0	
19	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	0	0	0	0	0	0	0	0	0	1	0	0	0	
21	0	0	1	0	0	0	0	0	0	0	0	0	0	
22	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	0	0	1	0	0	0	0	0	0	0	0	0	0	
24	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	0	0	0	1	0	0	0	0	0	0	0	0	0	
26	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	1	0	0	0	0	0	1	0	1	0	0	0	0	
28	0	0	0	0	0	1	1	0	0	0	0	0	0	
29	0	0	0	0	0	0	0	0	0	0	0	0	0	
30	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	0	0	0	0	0	0	0	0	0	0	0	0	0	
33	0	0	1	0	0	1	0	0	0	0	0	0	0	
34	0	0	0	0	0	0	0	0	1	0	0	0	0	
35	0	0	1	0	0	0	0	0	0	0	0	0	1	
36	0	0	1	0	0	1	0	0	0	1	0	0	1	
37	1	0	1	0	0	0	0	0	0	0	0	0	1	
38	0	0	1	0	0	0	0	0	0	0	0	0	1	
39	0	0	0	0	0	0	0	0	1	0	0	0	0	
40	0	0	0	0	0	0	0	0	0	0	0	0	0	
41	0	0	1	0	0	0	0	0	0	0	0	0	0	
42	0	0	0	0	0	0	0	0	0	0	0	0	0	
43	0	0	0	0	0	0	0	0	1	0	0	1	0	
44	0	0	0	0	0	0	0	0	0	0	0	0	0	
45	0	0	0	0	0	1	0	0	0	0	0	0	0	
46	0	0	0	0	1	0	0	0	0	0	0	0	0	
47	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	0	0	1	0	0	0	1	0	0	0	0	0	0	
49	1	1	1	0	0	0	0	0	0	0	1	0	0	
50	0	0	1	0	0	0	0	0	0	0	0	0	0	
51	0	0	1	0	1	0	0	0	0	0	1	0	1	
52	0	0	1	0	0	0	0	1	0	0	0	0	0	
53	0	0	0	0	0	0	0	0	0	0	0	0	1	
54	0	1	1	0	0	0	0	0	0	1	0	0	0	
55	0	0	1	0	0	0	0	0	0	0	0	0	0	
56	0	0	1	0	0	0	0	0	0	0	0	0	0	
57	1	0	1	0	0	0	0	0	0	0	0	0	0	
58	0	0	1	0	0	0	0	0	0	0	0	0	0	
59	0	0	1	1	0	0	0	0	0	0	0	0	0	
60	0	0	1	0	0	0	1	0	0	1	0	0	1	
61	0	0	0	0	0	0	0	0	1	0	0	0	0	
62	0	0	1	0	0	0	0	0	0	0	0	0	0	
63	0	0	0	0	0	0	0	0	0	0	0	0	0	
64	0	0	1	0	0	0	0	0	0	0	0	0	1	
65	0	0	0	0	0	0	0	0	0	0	0	0	0	
66	0	0	0	0	0	0	0	0	0	0	0	1	0	
67	0	0	1	0	0	0	0	0	0	0	0	0	0	
68	0	0	0	0	0	0	0	0	0	0	0	0	0	
69	0	0	0	0	0	0	1	0	0	0	0	0	0	
70	0	0	0	0	0	1	1	0	0	0	0	0	0	
71	0	1	0	0	0	0	0	0	0	0	0	0	0	
72	0	0	0	0	0	0	0	0	0	0	0	1	0	
73	0	0	1	0	0	0	0	0	0	0	0	0	0	
74	0	0	0	0	0	0	0	0	0	0	0	0	0	
75	0	0	1	0	0	0	0	0	0	1	0	0	0	
76	0	0	0	0	0	0	0	0	0	0	0	0	0	
77	0	0	0	0	0	0	0	0	0	0	0	0	0	
78	0	0	0	0	0	0	0	0	0	0	0	0	0	
79	0	0	0	0	0	0	0	0	0	0	0	0	0	
80	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	0	0	0	0	0	0	0	0	0	1	0	0	0	
82	0	0	0	0	0	0	0	0	0	1	0	1	0	
83	0	0	0	1	0	0	1	0	0	1	0	0	1	
84	0	0	1	1	0	0	1	0	0	0	0	0	0	
85	0	0	0	0	0	0	0	0	0	0	0	0	0	
86	1	1	0	0	0	0	0	0	0	0	0	0	0	
87	0	0	0	0	0	0	0	0	0	0	0	0	1	
88	1	0	0	0	0	0	0	0	0	0	0	0	0	
89	0	0	0	0	0	0	0	0	0	0	0	0	0	
90	0	0	0	0	0	0	0	0	0	0	0	0	0	
91	1	0	0	0	0	0	0	0	0	0	0	0	0	
92	0	0	0	0	0	1	0	0	1	1	0	0	0	
93	0	0	0	0	0	0	0	0	0	1	0	0	0	
94	0	0	0	1	0	0	0	0	0	1	0	0	0	
95	1	0	1	1	0	0	0	0	0	1	0	0	0	
96	0	0	0	0	1	0	0	0	0	0	0	0	0	
97	0	0	0	0	0	0	0	0	0	0	0	1	1	
98	0	0	0	0	0	0	1	0	0	0	0	0	0	
99	0	0	0	0	0	0	0	0	0	0	1	0	0	
100	0	0	0	0	0	0	0	0	0	0	0	0	0	
101	0	0	0	0	0	0	0	0	0	0	0	0	1	
102	0	0	0	0	0	0	0	1	0	0	0	0	0	
103	0	0	0	0	0	0	0	0	0	1	0	0	0	
104	0	0	0	0	0	0	0	0	0	1	0	0	0	
105	0	0	0	0	0	0	0	0	0	0	0	0	0	
106	0	0	0	0	0	0	1	0	0	0	0	0	0	
107	0	0	0	0	0	0	0	0	0	0	1	0	0	
108	0	0	0	0	0	0	0	0	1	1	0	0	0	
109	1	0	0	1	1	0	0	0	0	0	1	0	0	
110	1	0	0	0	0	0	0	0	0	0	0	0	0	
111	0	0	0	0	0	0	0	0	0	0	0	1	0	
112	0	0	1	0	0	0	1	0	0	0	0	0	0	
113	0	0	1	0	0	0	1	0	0	0	0	0	0	
114	0	0	0	0	0	0	0	0	0	0	0	0	0	
115	0	0	0	0	0	0	0	0	0	0	0	0	0	
116	1	0	1	1	0	0	0	0	0	0	0	0	0	
117	1	0	1	1	0	1	1	0	0	0	0	0	0	
118	0	0	0	0	0	0	0	0	0	1	0	1	1	
119	0	0	0	0	0	0	0	0	0	0	0	0	0	
120	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	0	0	0	0	0	0	0	0	0	1	0	0	0	
122	0	0	0	0	0	0	0	0	0	0	0	0	0	
123	0	0	0	0	0	0	0	0	0	0	0	0	1	
124	0	0	0	0	0	0	0	0	0	0	1	1	0	
125	0	0	0	0	0	0	0	0	0	0	1	0	0	
126	1	0	1	0	0	0	0	0	0	1	0	0	0	
127	0	0	1	0	0	0	0	0	1	1	0	1	0	
128	0	0	1	0	0	0	1	0	1	1	0	1	0	
129	0	0	0	0	0	0	0	0	0	0	0	0	0	
130	0	0	0	0	1	0	0	0	0	0	0	0	0	
131	0	0	0	0	0	0	0	0	0	0	0	0	0	
132	0	0	0	0	0	0	1	0	0	0	0	0	0	
133	0	0	0	0	0	0	0	0	0	0	1	0	0	
134	1	0	0	0	0	0	0	1	1	0	0	0	0	
135	0	0	1	0	0	0	0	1	1	0	0	0	1	
136	0	1	1	0	1	1	0	1	1	0	0	0	0	
137	1	0	0	0	0	0	0	0	0	0	0	0	0	
138	0	0	0	0	0	0	1	0	1	1	0	1	0	
139	0	0	0	0	0	0	0	0	0	0	1	0	0	
140	0	0	0	0	0	0	0	0	0	0	0	0	0	
141	0	0	0	0	0	0	0	0	0	0	0	0	1	
142	0	0	0	0	0	0	0	1	0	0	0	0	0	
143	0	1	0	1	0	0	0	0	0	0	0	0	0	
144	0	0	0	0	0	0	0	0	1	1	0	0	0	
145	0	0	1	0	0	0	0	0	0	0	0	0	0	
146	0	0	0	0	1	0	0	0	0	0	0	0	0	
147	0	0	1	0	0	0	0	0	0	0	0	0	0	
148	0	0	0	0	0	0	1	0	0	0	0	0	0	
149	0	0	0	1	0	0	0	0	0	0	1	1	0	
150	0	1	0	0	0	0	0	0	0	0	0	0	0	
151	0	0	0	0	0	0	0	0	0	0	0	0	1	
152	0	0	0	0	0	0	0	1	0	0	0	1	0	
153	0	0	0	0	0	0	0	0	0	0	0	0	0	
154	0	0	0	0	0	0	0	0	0	1	0	0	0	
155	0	0	0	0	0	0	1	0	0	0	0	0	0	
156	0	0	1	0	0	0	0	0	0	0	0	0	0	
157	0	0	0	0	0	0	0	0	0	0	0	0	0	
158	0	0	0	0	0	0	0	0	0	0	0	0	1	
159	0	0	0	1	1	0	0	0	1	1	0	0	1	
160	0	0	0	0	0	0	1	0	0	0	0	0	0	
161	0	0	0	0	0	0	0	0	0	0	0	0	0	
162	0	0	0	0	0	0	0	0	0	0	1	1	0	
163	0	0	0	0	0	1	1	0	0	0	0	0	1	
164	1	0	0	0	0	0	0	0	0	0	0	0	0	
165	0	0	0	0	0	0	0	0	0	0	0	0	0	
166	0	0	0	0	0	0	0	0	0	0	0	0	0	
167	0	0	0	0	0	0	0	0	0	0	0	0	0	
